raw,replaced
AOC allegedly on hook for unpaid seven-year-old tax bill: report .,AOC allegedly on hook for unpaid seven-year-old tax bill: report .
2020-05-18 07:20:36 +00:00 .,2020-05-18 07:20:36 +00:00 .
Fox News,Fox News
Flash top headlines are here .,Flash top headlines are here .
Check out what 's clicking on Foxnews.com .,Check out what 's clicking on Foxnews.com .
Get all the latest news on coronavirus and more delivered daily to your inbox .,Get all the latest news on coronavirus and more delivered daily to your inbox .
Sign up here .,Sign up here .
US Rep. Alexandria Ocasio - Cortez wants to raise taxes on the rich — just not pay her own .,her wants to raise taxes on the rich — just not pay her own .
The Democratic socialist congresswoman from The Bronx still has n’t paid a 7 - year - old tax bill leftover from a failed business venture .,"The congresswoman  The Bronx still has n’t paid the $ 2,088.78 bill ."
"AOC had founded Brook Avenue Press , a publishing house that sought designers , artists and writers from urban areas to help paint The Bronx in a positive way in children ’s stories , in 2012 .","AOC had founded Brook Avenue Press , a publishing house that sought designers , artists and writers from urban areas to help paint The Bronx in a positive way in children ’s stories , in 2012 ."
AOC SAYS GREEN NEW DEAL ' COSTS US $ 0 IF PASSED ' BECAUSE IT 'S JUST A ' NON - BINDING RESOLUTION OF VALUES ',AOC SAYS GREEN NEW DEAL ' COSTS US $ 0 IF PASSED ' BECAUSE IT 'S JUST A ' NON - BINDING RESOLUTION OF VALUES '
"As the Post previously reported , public records show the state dissolved the company in October 2016 .","As The Post previously reported , public records show The state dissolved AOC in October 2016 ."
The state can make such a move when a business fails to pay corporate taxes or file a return .,The state can make such a move when a business fails to pay corporate taxes or file a return .
"The state Tax Department then filed a warrant against her now - defunct business on July 6 , 2017 , over a $ 1,618.36 unpaid bill .","the state Tax Department then filed the tax warrant  The business on July 6 , 2017 , over a $ 1,618.36 unpaid bill ."
"As of Friday , the tax warrant had still not been satisfied , and the outstanding balance had grown to $ 2,088.78 , the department said .","As of Friday , the tax warrant had still not been satisfied , and the outstanding balance had grown to $ 2,088.78 , the state Tax Department said ."
"Rep. Alexandria Ocasio - Cortez , D - N.Y. , listens to questioning of Michael Cohen , President Donald Trump 's former personal lawyer , at the House Oversight and Reform Committee , on Capitol Hill in Washington , Wednesday , Feb. 27 , 2019 .","Rep. Alexandria Ocasio - Cortez , D - N.Y. , listens to questioning of Michael Cohen , President Donald Trump 's former personal lawyer , at the House Oversight and Reform Committee , on Capitol Hill in Washington , Wednesday , Feb. 27 , 2019 ."
( AP Photo / J. Scott Applewhite ),( AP Photo / J. Scott Applewhite )
“ She just thinks she ’s better than everyone else .,"“ Rep. Alexandria Ocasio - Cortez , D - N.Y. , just thinks Rep. Alexandria Ocasio - Cortez , D - N.Y. , ’s better than everyone else ."
"Clearly , she ’s worse , ” said Hank Sheinkopf , spokesman for AOC ’s chief June primary - race opponent , Michelle Caruso - Cabrera , to The Post .","Clearly , Rep. Alexandria Ocasio - Cortez , D - N.Y. , ’s worse , ” said Hank Sheinkopf , spokesman for AOC ’s chief June primary - race opponent , Michelle Caruso - Cabrera , to The Post  AOC ’s chief June primary - race opponent , Michelle Caruso - Cabrera , to The Post ."
"But Ocasio - Cortez ’s camp says the rep is challenging the $ 2,088.78 bill because it was issued “ in error . ""","But Ocasio - Cortez ’s camp says Hank Sheinkopf , spokesman for AOC ’s chief June primary - race opponent , Michelle Caruso - Cabrera , to The Post is challenging the $ 2,088.78 bill because the $ 2,088.78 bill was issued “ in error . """
"AOC 'S TOP AIDE ADMITS GREEN NEW DEAL ABOUT ECONOMY , NOT CLIMATE","AOC TOP AIDE ADMITS GREEN NEW DEAL ABOUT ECONOMY , NOT CLIMATE"
“ The congresswoman is still in the process of contesting the tax warrant .,“ The congresswoman is still in the process of contesting the tax warrant .
"The business has been closed for several years now , and so we believe that the state Tax Department has continued to collect the franchise tax in error , ” said Lauren Hitt , an AOC spokeswoman .","The business has been closed for several years now , and so we believe that the state Tax Department has continued to collect the franchise tax in error , ” said Hitt  AOC spokeswoman ."
"“ As anyone who ’s tried to contest a tax bill in error knows , it takes time , ” Hitt added .","“ As anyone who ’s tried to contest a tax bill in error knows , it takes time , ” Hitt added ."
"AOC , a first - term incumbent , will face Democratic voters in the June 23 primary in the 14th Congressional District covering portions of The Bronx and Queens .",AOC will face Democratic voters in the June 23 primary in the 14th Congressional District covering portions of The Bronx and Queens .
She shocked the political world when she toppled Ex - Congressman and former Queens Democratic Party Chairman Joe Crowley in the 2018 Democratic primary .,her shocked the political world when her toppled Ex - Congressman and former Queens Democratic Party Chairman Joe Crowley in the 2018 Democratic primary .
CLICK HERE TO GET THE FOX NEWS APP,CLICK HERE TO GET THE FOX NEWS APP
"In one of her first moves as a congresswoman in 2019 , AOC said taxes on the country ’s wealthiest should be increased to as much as 70 percent .","In one of her first moves as a congresswoman in 2019 , AOC said taxes on the country ’s wealthiest should be increased to as much as 70 percent ."
"Meanwhile , the financial statement of Caruso - Cabrera , a former CNBC anchor , has yet to be publicly posted .","Meanwhile , the financial statement of Caruso - Cabrera , a former CNBC anchor ,  Caruso - Cabrera , a former CNBC anchor , has yet to be publicly posted ."
Her campaign spokesman said it was filed Friday – the May 15 deadline .,"Caruso - Cabrera , a former CNBC anchor , campaign spokesman said the financial statement of Caruso - Cabrera , a former CNBC anchor , was filed Friday – the May 15 deadline ."
CLICK FOR MORE FROM THE NEW YORK POST,CLICK FOR MORE FROM THE NEW YORK POST
